CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/26/2018,0:00:00,7A,1700 W LEXINGTON ST,AUTO THEFT,O,,711,WESTERN,Franklin Square,-76.64477,39.29067,"(39.29067, -76.64477)",STREET,,1
06/26/2018,0:00:00,7C,3800 ROLAND AVE,AUTO THEFT,O,,531,NORTHERN,Hampden,-76.63297,39.33504,"(39.33504, -76.63297)",STREET,,1
06/25/2018,23:08:00,9S,4300 ERDMAN AV,SHOOTING,,FIREARM,433,NORTHEASTERN,Orchard Ridge,-76.56555,39.31154,"(39.31154, -76.56555)",Parking Lo,,1
06/25/2018,23:20:00,6D,PL & W LANVALE ST,LARCENY FROM AUTO,O,,132,CENTRAL,Madison Park,-76.62616,39.30378,"(39.30378, -76.62616)",STREET,,1
06/25/2018,23:08:00,4A,4200 ERDMAN AVE,AGG. ASSAULT,O,FIREARM,333,NORTHEASTERN,Orangeville Industrial Ar,-76.5668,39.31239,"(39.31239, -76.5668)",PARKING LO,,1
06/25/2018,23:08:00,4A,4200 ERDMAN AVE,AGG. ASSAULT,,FIREARM,333,NORTHEASTERN,Orangeville Industrial Ar,-76.5668,39.31239,"(39.31239, -76.5668)",,,1
06/25/2018,23:08:00,4A,4200 ERDMAN AVE,AGG. ASSAULT,,FIREARM,333,NORTHEASTERN,Orangeville Industrial Ar,-76.5668,39.31239,"(39.31239, -76.5668)",,,1
06/25/2018,23:00:00,6E,1300 E 35TH ST,LARCENY,O,,412,NORTHEASTERN,Ednor Gardens-Lakeside,-76.59748,39.33091,"(39.33091, -76.59748)",DRIVEWAY,,1
06/25/2018,23:00:00,6J,2700 GILES RD,LARCENY,O,,922,SOUTHERN,Cherry Hill,-76.63054,39.24952,"(39.24952, -76.63054)",OTHER - OU,,1
06/25/2018,22:58:00,4E,5400 JAMESTOWNE CT,COMMON ASSAULT,I,,823,SOUTHWESTERN,Westgate,-76.70843,39.28302,"(39.28302, -76.70843)",ROW/TOWNHO,,1
