CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/29/2018,8:55:00,6D,FAYETTE ST & AISQUITH ST,LARCENY FROM AUTO,,,211,SOUTHEASTERN,Pleasant View Gardens,-76.6016,39.292,"(39.292, -76.6016)",,,1
06/29/2018,8:30:00,6G,7300 HARFORD RD,LARCENY,I,,424,NORTHEASTERN,North Harford Road,-76.54604,39.37015,"(39.37015, -76.54604)",CONVENIENC,,1
06/29/2018,8:25:00,4F,400 N CAROLINE ST,ASSAULT BY THREAT,I,,321,EASTERN,Dunbar-Broadway,-76.59739,39.29568,"(39.29568, -76.59739)",SCHOOL,,1
06/29/2018,8:00:00,6G,4900 GOODNOW RD,LARCENY,I,,443,NORTHEASTERN,Frankford,-76.54875,39.32713,"(39.32713, -76.54875)",APT/CONDO,,1
06/29/2018,7:50:00,4D,1100 NEWCOMB WAY,AGG. ASSAULT,I,HANDS,433,NORTHEASTERN,Armistead Gardens,-76.55028,39.30582,"(39.30582, -76.55028)",ROW/TOWNHO,,1
06/29/2018,7:30:00,4E,2500 W BELVEDERE AVE,COMMON ASSAULT,I,,532,NORTHERN,Levindale,-76.66578,39.35307,"(39.35307, -76.66578)",APT/CONDO,,1
06/29/2018,7:20:00,5A,0 HILLVALE RD,BURGLARY,I,,822,SOUTHWESTERN,Irvington,-76.69233,39.28555,"(39.28555, -76.69233)",ROW/TOWNHO,,1
06/29/2018,7:00:00,5A,400 N ATHOL AVE,BURGLARY,I,,822,SOUTHWESTERN,Uplands,-76.68929,39.29131,"(39.29131, -76.68929)",ROW/TOWNHO,,1
06/29/2018,6:30:00,6E,1600 WICOMICO ST,LARCENY,O,,941,SOUTHERN,Carroll - Camden Industri,-76.63573,39.27429,"(39.27429, -76.63573)",STREET,,1
06/29/2018,5:40:00,6D,100 N KENWOOD AVE,LARCENY FROM AUTO,,,222,SOUTHEASTERN,Patterson Park Neighborho,-76.57768,39.29396,"(39.29396, -76.57768)",,,1
06/29/2018,5:30:00,6E,1600 ELMTREE ST,LARCENY,O,,911,SOUTHERN,Curtis Bay,-76.58737,39.22454,"(39.22454, -76.58737)",STREET,,1
06/29/2018,4:36:00,5A,2100 W MULBERRY ST,BURGLARY,I,,714,WESTERN,Penrose/Fayette Street Ou,-76.65082,39.29275,"(39.29275, -76.65082)",ROW/TOWNHO,,1
