Date,Time,Address,Crime,Inside/Outside,Weapon,PostCode,District,Neighborhood,Longitude,Latitude,Location,Premise
interval+date,interval+minute,nominal,ordinal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal
43288,465,100 MCMECHEN ST,2,I,,132,CENTRAL,Bolton Hill,-76.62464,39.30947,"(39.30947, -76.62464)",OTHER/RESI
43288,437,1800 N WOLFE ST,0,O,KNIFE,331,EASTERN,Broadway East,-76.59166,39.31165,"(39.31165, -76.59166)",STREET
43288,400,2400 BARCLAY ST,2,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO
43288,393,2400 BARCLAY ST,2,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO
43288,393,2400 BARCLAY ST,2,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO
43288,360,1700 N PATTERSON PARK AVE,3,O,,331,EASTERN,Broadway East,-76.58579,39.31016,"(39.31016, -76.58579)",STREET
43288,351,2400 BARCLAY ST,2,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO
43288,240,3100 FERNDALE AVE,7,O,,622,NORTHWESTERN,Howard Park,-76.70262,39.3271,"(39.3271, -76.70262)",STREET
43288,180,0 W BALTIMORE ST,13,O,,111,CENTRAL,Downtown,-76.61941,39.28935,"(39.28935, -76.61941)",STREET
43288,177,5000 BELAIR RD,2,I,,426,NORTHEASTERN,Waltherson,-76555,39.33581,"(39.33581, -76.555)",SPECIALTY
43288,177,5000 BELAIR RD,2,I,,426,NORTHEASTERN,Waltherson,-76555,39.33581,"(39.33581, -76.555)",SPECIALTY
43288,155,RD & BONAPARTE AV,8,O,,342,EASTERN,East Baltimore Midway,-76.59798,39.31418,"(39.31418, -76.59798)",STREET
43288,120,400 N KENWOOD AVE,2,I,,221,SOUTHEASTERN,McElderry Park,-76.57782,39.29601,"(39.29601, -76.57782)",ROW/TOWNHO
43288,120,200 SCOTT ST,8,O,,932,SOUTHERN,Washington Village/Pigtow,-76.62898,39.28494,"(39.28494, -76.62898)",STREET
43288,120,600 S BROADWAY,8,O,,213,SOUTHEASTERN,Fells Point,-76.59358,39.28427,"(39.28427, -76.59358)",STREET
43288,116,3700 MANCHESTER AVE,0,I,KNIFE,613,NORTHWESTERN,Central Park Heights,-76.6765,39.34239,"(39.34239, -76.6765)",ROW/TOWNHO
43288,99,6800 GOUGH ST,5,I,,241,SOUTHEASTERN,Eastwood,-76.5311,39.29051,"(39.29051, -76.5311)",ROW/TOWNHO
43288,32,5000 BENTON HEIGHTS AV,14,,FIREARM,426,NORTHEASTERN,Waltherson,-76.55576,39.3363,"(39.3363, -76.55576)",Street
43288,15,3900 WILKE AVE,2,I,,426,NORTHEASTERN,Waltherson,-76.56111,39.33768,"(39.33768, -76.56111)",ROW/TOWNHO
43287,1432,4500 KATHLAND AVE,7,O,,622,NORTHWESTERN,Howard Park,-76.69468,39.32709,"(39.32709, -76.69468)",STREET
43287,1425,3900 HUDSON ST,7,O,,233,SOUTHEASTERN,Brewers Hill,-76.56388,39.28264,"(39.28264, -76.56388)",YARD
43287,1420,ST & E GITTINGS ST,13,O,,942,SOUTHERN,South Baltimore,-76.61197,39.27422,"(39.27422, -76.61197)",STREET
43287,1390,3600 EDMONDSON AVE,7,O,,844,SOUTHWESTERN,Edgewood,-76.67749,39.29403,"(39.29403, -76.67749)",STREET
43287,1380,2700 WOODVIEW RD,3,O,,922,SOUTHERN,Cherry Hill,-76.62692,39.24879,"(39.24879, -76.62692)",STREET
43287,1367,400 E 25TH ST,5,,,341,NORTHERN,Barclay,-76.61123,39.31802,"(39.31802, -76.61123)",
43287,1363,6400 ERDMAN AVE,2,I,,241,SOUTHEASTERN,Pulaski Industrial Area,-76.53966,39.30209,"(39.30209, -76.53966)",SPECIALTY
43287,1350,HEIGHTS AV & PARKWOOD AV,0,O,FIREARM,426,NORTHEASTERN,Waltherson,-76.55584,39.3362,"(39.3362, -76.55584)",STREET
43287,1349,MONUMENT ST & N MILTON AV,8,O,,323,EASTERN,Milton-Montford,-76.5823,39.29884,"(39.29884, -76.5823)",STREET
